question,correct_answer,question_type
What are the two official languages?,English and Swahili,local
When did the ancestors of modern Homo sapiens inhabit Kenya?,in the Pleistocene epoch,local
How is the climate near the savannah grasslands?,The climate is cooler,local
What did they want the educational system to be?,8–4–4 system,local
Who did President Kibaki run against?,the Orange Democratic Movement (ODM),local
Who is the executive power?,exercised by the government,local
What is the mlolongo system?,where voters were supposed to line up behind their favoured candidates instead of a secret ballot,local
Where do many merchants and explorers go?,the Kenyan Coast,local
What was the Presidential Working Party on the Second University commissioned to do?,look at both the possibilities of setting up a second university in Kenya as well as the reforming of the entire education system,local
How far do the wildebeest migrate searching for food and water?,"2,900 kilometres (1,802 mi)",local
How much of the population is Hindu?,"around 300,000",local
What time do they normally have tea?,10 o'clock tea (chai ya saa nne) and 4 pm tea,local
What has given a boost to manufacturing in recent years?,Kenya's inclusion among the beneficiaries of the US Government's African Growth and Opportunity Act (AGOA),local
What are the biggest game animals of Kenya called?,"The ""Big Five""",local
Where did the first shipment of minerals ship from?,"Base Titanium, a subsidiary of Base resources of Australia",local
What is Kenya's HDI?,"0.519, ranked 145 out of 186 in the world",local
What regions do the north-eastern part of the country boarder?,Somalia and Ethiopia,local
What mountain has snow on it all year round?,Mount Kenya,local
"What are the ""Big Five"" animals in Kenya?","lion, leopard, buffalo, rhinoceros, and elephant",local
When did Kenya become an independent country?,1963,local
"How did British colonial policies—including land seizure, hut taxes, banning coffee cultivation, and denying political rights—create the conditions that led to the Mau Mau uprising, and what does this chain of cause and effect reveal about the relationship between colonial economic exploitation and anti-colonial resistance?","British settlers dispossessed over a million Kikuyu from the central highlands, banned them from growing coffee, imposed hut taxes, and granted the landless less and less land in exchange for labor; this systematic exploitation caused mass urban migration and resentment that culminated in the Mau Mau insurgency, demonstrating how colonial economic structures directly generated armed resistance.",global
How does Kenya's economic paradox—being East and Central Africa's largest economy while having an HDI of 0.519 with 53% of the population below the poverty line—reflect structural imbalances in its development model?,"Kenya's services sector contributes 61% of GDP and tourism leads growth, yet agriculture employing 75% of the workforce remains inefficient; manufacturing accounts for only 14% of GDP; poor infrastructure isolates rural farmers; corruption weakens institutions—revealing that GDP growth has not translated into broad-based development, leaving coexisting urban affluence and widespread rural poverty.",global
"How did the disputed 2007 presidential election, the violence that followed, and the 2008 power-sharing agreement collectively expose both the fragility of Kenya's democratic institutions and their capacity for negotiated recovery?","International observers deemed the election below standard; Odinga declared himself 'People's President'; post-election violence led to ICC charges against Kenyatta and Ruto; yet UN-backed mediation produced a power-sharing deal, parliament unanimously approved it, and civil society launched reconciliation programs—showing democracy under acute stress but ultimately capable of institutional self-correction.",global
"How did Kenya's 2010 constitutional reforms represent a fundamental renegotiation of state power, moving beyond simply removing the Prime Minister position to restructuring governance at multiple levels?","The 2010 constitution reduced presidential powers, created 47 semi-autonomous counties governed by elected governors, enshrined a bill of rights, and devolved significant authority to local governments—responding directly to the post-election crisis by dispersing the centralized presidential power that had enabled electoral manipulation and political violence since the Moi era.",global
"How does Kenya's diverse geography—from the Indian Ocean coast to the Great Rift Valley and snow-capped Mount Kenya—directly shape its economic structure, agricultural zones, biodiversity, and tourism assets?","Coastal warmth sustains beach tourism and the historic Swahili trade port of Mombasa; temperate highlands produce tea, coffee, and pyrethrum as principal cash crops; arid northeastern regions limit farming but support pastoralism; the Masai Mara hosts the wildebeest migration attracting millions of tourists—making geographic diversity the foundational driver of Kenya's agricultural regions, wildlife reserves, and foreign exchange earnings.",global
