question,correct_answer,question_type
Who else observed that Luther view of souls was different form later views?,Gerhard. Lessing,local
What was Luther's Disputation of Martin Luther on the Power and Efficacy of Indulgences later called?,The Ninety-Five Theses,local
What version of the English translation of the Bible did Luther's translation affect?,Tyndale Bible,local
What do the Ten Commandments teach Christians how to do?,ought to live,local
How was the fate of Luther decided?,private conferences,local
Who presided over the assembly?,Emperor Charles V,local
Who was determined to expose Luther at this time?,Johann Eck,local
Where did Tetzel overstate his teachings?,"indulgences for the dead,",local
What does refusing to preach the Ten Commandments not do?,eliminate the accusing law,local
What theology states that faith alone isn't enough to justify man?,Roman Catholic,local
What did Protestant nobles form the following year after the signing of the Augsburg Confession?,Schmalkaldic League,local
When were the negotiations finished in Mansfeld?,17 February 1546,local
What instrument became a national instrument in Germany?,waldzither,local
What did Luther's degree in 1509 concern?,Sentences by Peter Lombard,local
What is a Hauptlied?,main hymn,local
What kind of marriage was this ?,clerical marriage,local
Where was Luther born?,"Eisleben, Saxony",local
When was Martin Luther born?,10 November 1483,local
What position did Luther have in Wittenberg?,Doctor in Bible,local
What were the papal legate's orders from the Pope?,arrest Luther,local
"How did Luther's personal experiences—such as the lightning bolt, his time in the Augustinian order, and his academic study—collectively shape the development of his theological ideas about faith, grace, and justification?",Luther's fear of death during the lightning strike led him to monastic life; his 'deep spiritual despair' there drove him toward Staupitz's teaching; his academic study of Paul's epistles and the Psalms crystallized his doctrine of justification by faith alone through God's grace.,global
How did Luther's doctrine of justification by faith alone both challenge Catholic authority and become the theological foundation for the entire Protestant Reformation?,"Luther rejected Catholic teaching that good works earned salvation; his doctrine made the Pope and Church unnecessary mediators between God and believer, directly undermining papal authority and inspiring the broader Reformation movement.",global
"In what ways did Luther simultaneously act as a radical reformer and a conservative force within the Reformation, and how did this tension shape his responses to the Peasants' War and the Zwickau prophets?","Luther introduced radical theological changes yet opposed social revolution; he banished the Zwickau prophets, condemned the peasants as 'mad dogs,' and relied on secular princes—showing he wanted religious reform within existing social order, not societal upheaval.",global
"How did Luther's use of the printing press, vernacular Bible translation, and hymn writing function together as a unified strategy for spreading Reformation ideas and reshaping German cultural and religious life?",The printing press spread his Theses across Europe in weeks; his vernacular Bible made scripture accessible and standardized German language; his hymns embedded Reformation theology into everyday worship—together these tools transformed both religion and German culture.,global
"How did Luther's views on Jews evolve across his career, and to what extent do his later virulently anti-Jewish writings represent a theological continuity or a radical departure from his earlier more conciliatory position?","In 1523 Luther urged kindness toward Jews hoping to convert them; when conversion failed he grew bitterly hostile, writing in 1543 that synagogues should be burned and Jews expelled—a shift historians debate as either a consistent soteriological logic taken to its extreme or a product of his declining health and frustrated ambitions.",global
"How did Luther's concept of the 'two kingdoms'—the spiritual and secular realms—shape his contradictory political stances, from supporting secular princes during the Peasants' War to calling for a secular war against the Turks while rejecting a holy war?","Luther believed God governed through both the Church and secular authority; this led him to support noble suppression of peasants (secular realm), refuse a religious crusade against the Turks (spiritual realm not applicable), and ultimately subordinate church governance to the Elector of Saxony.",global
"How did the Marburg Colloquy and its failure to resolve the dispute over the Eucharist reveal the theological limits of Protestant unity, and what were the longer-term consequences for the Reformation's political cohesion?","Despite agreeing on 14 of 15 points, Luther's insistence on the Real Presence of Christ in the bread and wine versus Zwingli's symbolic interpretation proved irreconcilable; this division prevented a unified Protestant front and ultimately excluded the Swiss cities from the Augsburg Confession and Schmalkaldic League.",global
How did Luther's relationship with secular authorities—particularly the Elector of Saxony and Emperor Charles V—both protect the Reformation and create a problematic dependence that shaped church governance in ways Luther himself did not intend?,"Frederick III's protection allowed Luther to survive excommunication and outlawry; John the Steadfast funded church reform; but this reliance shifted church governance 'under the temporal sovereign'—an unintended development Luther's biographer called 'questionable,' making the church dependent on state patronage.",global
"To what extent was Luther's legacy inherently contradictory—as both a liberator who democratized scripture and worship, and a figure whose anti-Jewish rhetoric, opposition to the Peasants' War, and compromise on clerical governance left authoritarian and oppressive legacies?","Luther liberated believers through vernacular scripture, clerical marriage, and congregational hymns, yet his anti-Jewish writings provided material for Nazi persecution, his condemnation of the peasants reinforced noble power, and his reliance on secular princes entangled the church with state authority.",global
"How did Luther's catechisms, hymns, and liturgical reforms together create a coherent new religious identity for ordinary Germans, and why did this bottom-up cultural transformation prove as significant as his theological disputes with Rome?",The Small Catechism gave laity doctrinal basics in accessible German; hymns embedded theology in communal worship; the German Mass included congregational participation—together these reforms created a participatory religious culture that outlasted the political disputes of the Reformation and shaped Lutheran identity for centuries.,global
