question_type,source,question,answer,persona,task,chunk_id,chunk,file_path,retrieved_contexts
Local Direct,gpt-4o,"How can PrimeKG help in identifying interactions between genes, diseases, and drugs?",PrimeKG can be leveraged to identify gene-disease-drug interactions by using the node and edge data to find potential intervention points within pathways and biological processes.,"Dr. Alice Kim, a Senior Biomedical Researcher with a focus on disease mechanisms",Identify novel drug targets within the knowledge graph,0,"# PrimeKG: Precision Medicine Knowledge Graph Documentation

## 1. Overview
**PrimeKG** is a multimodal knowledge graph designed to provide a holistic view of human diseases. It bridges the gap between low-level molecular biology and high-level clinical medicine by integrating **20 high-quality primary resources**.

* **Total Nodes:** 129,375
* **Total Edges:** 4,050,249
* **Unique Diseases:** 17,080 (grouped for clinical relevance)
* **Primary Data Sources:** 20 (including MONDO, Orphanet, Mayo Clinic, and HPO)

---

## 2. Graph Schema & Node Definitions
PrimeKG categorizes biological and medical entities into 10 distinct node types.

| Node Type | Example Name | Meaning/Role |
| :--- | :--- | :--- |
| **gene/protein** | `PHYHIP` | The functional units (genes/proteins) of the body. |
| **disease** | `Osteogenesis imperfecta` | Grouped medical conditions (based on MONDO). |
| **drug** | `Copper` | Chemical substances used for therapy or nutrition. |
| **effect/phenotype** | `Growth abnormality` | Observable traits or symptoms of a condition. |
| **anatomy** | `Uterine cervix` | Specific organs or tissues involved in a disease. |
| **pathway** | `Apoptosis` | A sequence of molecular actions (biological ""roadmap""). |
| **biological_process**| `DNA repair` | Programmed cellular objectives (e.g., cell division). |
| **molecular_function**| `Methyltransferase` | Specific biochemical activities at the molecular level. |
| **",your_data.txt,[]
One Fact,gpt-4o,How many unique diseases are included in the PrimeKG knowledge graph?,"The PrimeKG contains 17,080 unique diseases, which are grouped for clinical relevance.","Dr. Alice Kim, a Senior Biomedical Researcher with a focus on disease mechanisms",Identify novel drug targets within the knowledge graph,0,"# PrimeKG: Precision Medicine Knowledge Graph Documentation

## 1. Overview
**PrimeKG** is a multimodal knowledge graph designed to provide a holistic view of human diseases. It bridges the gap between low-level molecular biology and high-level clinical medicine by integrating **20 high-quality primary resources**.

* **Total Nodes:** 129,375
* **Total Edges:** 4,050,249
* **Unique Diseases:** 17,080 (grouped for clinical relevance)
* **Primary Data Sources:** 20 (including MONDO, Orphanet, Mayo Clinic, and HPO)

---

## 2. Graph Schema & Node Definitions
PrimeKG categorizes biological and medical entities into 10 distinct node types.

| Node Type | Example Name | Meaning/Role |
| :--- | :--- | :--- |
| **gene/protein** | `PHYHIP` | The functional units (genes/proteins) of the body. |
| **disease** | `Osteogenesis imperfecta` | Grouped medical conditions (based on MONDO). |
| **drug** | `Copper` | Chemical substances used for therapy or nutrition. |
| **effect/phenotype** | `Growth abnormality` | Observable traits or symptoms of a condition. |
| **anatomy** | `Uterine cervix` | Specific organs or tissues involved in a disease. |
| **pathway** | `Apoptosis` | A sequence of molecular actions (biological ""roadmap""). |
| **biological_process**| `DNA repair` | Programmed cellular objectives (e.g., cell division). |
| **molecular_function**| `Methyltransferase` | Specific biochemical activities at the molecular level. |
| **",your_data.txt,[]
Global,gpt-4o,What is the main aim of PrimeKG in the context of precision medicine?,PrimeKG aims to provide a holistic view of human diseases by bridging the gap between low-level molecular biology and high-level clinical medicine. It does this by integrating 20 high-quality primary resources.,"Dr. Emily Torres, a Clinical Geneticist focused on personalized treatment",Improve diagnostic accuracy for genetic disorders,0,"# PrimeKG: Precision Medicine Knowledge Graph Documentation

## 1. Overview
**PrimeKG** is a multimodal knowledge graph designed to provide a holistic view of human diseases. It bridges the gap between low-level molecular biology and high-level clinical medicine by integrating **20 high-quality primary resources**.

* **Total Nodes:** 129,375
* **Total Edges:** 4,050,249
* **Unique Diseases:** 17,080 (grouped for clinical relevance)
* **Primary Data Sources:** 20 (including MONDO, Orphanet, Mayo Clinic, and HPO)

---

## 2. Graph Schema & Node Definitions
PrimeKG categorizes biological and medical entities into 10 distinct node types.

| Node Type | Example Name | Meaning/Role |
| :--- | :--- | :--- |
| **gene/protein** | `PHYHIP` | The functional units (genes/proteins) of the body. |
| **disease** | `Osteogenesis imperfecta` | Grouped medical conditions (based on MONDO). |
| **drug** | `Copper` | Chemical substances used for therapy or nutrition. |
| **effect/phenotype** | `Growth abnormality` | Observable traits or symptoms of a condition. |
| **anatomy** | `Uterine cervix` | Specific organs or tissues involved in a disease. |
| **pathway** | `Apoptosis` | A sequence of molecular actions (biological ""roadmap""). |
| **biological_process**| `DNA repair` | Programmed cellular objectives (e.g., cell division). |
| **molecular_function**| `Methyltransferase` | Specific biochemical activities at the molecular level. |
| **",your_data.txt,[]
Local Direct,gpt-4o,Which types of data in PrimeKG can assist in aligning genetic conditions with clinical symptoms?,Dr. Emily Torres can utilize disease nodes in PrimeKG to align genetic conditions with clinical symptoms and reference drug and phenotype data to inform treatment strategies.,"Dr. Emily Torres, a Clinical Geneticist focused on personalized treatment",Improve diagnostic accuracy for genetic disorders,0,"# PrimeKG: Precision Medicine Knowledge Graph Documentation

## 1. Overview
**PrimeKG** is a multimodal knowledge graph designed to provide a holistic view of human diseases. It bridges the gap between low-level molecular biology and high-level clinical medicine by integrating **20 high-quality primary resources**.

* **Total Nodes:** 129,375
* **Total Edges:** 4,050,249
* **Unique Diseases:** 17,080 (grouped for clinical relevance)
* **Primary Data Sources:** 20 (including MONDO, Orphanet, Mayo Clinic, and HPO)

---

## 2. Graph Schema & Node Definitions
PrimeKG categorizes biological and medical entities into 10 distinct node types.

| Node Type | Example Name | Meaning/Role |
| :--- | :--- | :--- |
| **gene/protein** | `PHYHIP` | The functional units (genes/proteins) of the body. |
| **disease** | `Osteogenesis imperfecta` | Grouped medical conditions (based on MONDO). |
| **drug** | `Copper` | Chemical substances used for therapy or nutrition. |
| **effect/phenotype** | `Growth abnormality` | Observable traits or symptoms of a condition. |
| **anatomy** | `Uterine cervix` | Specific organs or tissues involved in a disease. |
| **pathway** | `Apoptosis` | A sequence of molecular actions (biological ""roadmap""). |
| **biological_process**| `DNA repair` | Programmed cellular objectives (e.g., cell division). |
| **molecular_function**| `Methyltransferase` | Specific biochemical activities at the molecular level. |
| **",your_data.txt,[]
Local Direct,gpt-4o,How can understanding protein-protein interactions aid in identifying disease pathways and potential therapeutic targets?,"The PrimeKG data includes protein_protein relationships, described as physical contact between two proteins to perform a biological function. This data helps Dr. Sarah Thompson understand key PPIs in molecular pathways, which is vital for identifying disease pathways and exploring them as potential therapeutic targets.","Dr. Sarah Thompson, Biomedical Researcher",Understand the interactions and pathways in disease treatment.,1,"process**| `DNA repair` | Programmed cellular objectives (e.g., cell division). |
| **molecular_function**| `Methyltransferase` | Specific biochemical activities at the molecular level. |
| **cellular_component**| `Nucleus` | The cellular ""location"" where proteins function. |
| **exposure** | `1-hydroxyphenanthrene`| Environmental factors or pollutants. |



---

## 3. Relationship (Edge) Types
PrimeKG contains 30 types of relations. Unlike standard graphs, it distinguishes between how drugs and diseases interact.

### Clinical Relationship Mapping
### PrimeKG Relationship Reference Table

This table describes the 30 relationship types found in PrimeKG, their display names in the graph, and the biological or clinical meaning of each connection.

| Internal Relation Name | Display Name | Meaning / Scientific Context |
| :--- | :--- | :--- |
| **protein_protein** | ppi | **Protein-Protein Interaction:** Physical contact between two proteins to perform a biological function. |
| **indication** | indication | **Approved Use:** The primary disease or condition for which a drug is FDA-approved. |
| **contraindication** | contraindication | **Medical Warning:** A condition that makes a particular treatment or drug inadvisable/dangerous. |
| **off-label use** | off-label use | **Unofficial Use:** Prescribing a drug for a condition other than its officially approved indication. |
| **drug_drug** | synergistic interaction | When the combined effect of two drugs is greater than the sum of their separate parts. |
| **drug_effect** | side effect | Secondary, usually adverse, physical effects caused by a drug. |
|",your_data.txt,[]
One Fact,gpt-4o,What specific type of relationship does PrimeKG use to denote protein interactions?,"PrimeKG uses the 'protein_protein' relationship type, displayed as 'ppi', to denote Protein-Protein Interactions.","Dr. Sarah Thompson, Biomedical Researcher",Understand the interactions and pathways in disease treatment.,1,"process**| `DNA repair` | Programmed cellular objectives (e.g., cell division). |
| **molecular_function**| `Methyltransferase` | Specific biochemical activities at the molecular level. |
| **cellular_component**| `Nucleus` | The cellular ""location"" where proteins function. |
| **exposure** | `1-hydroxyphenanthrene`| Environmental factors or pollutants. |



---

## 3. Relationship (Edge) Types
PrimeKG contains 30 types of relations. Unlike standard graphs, it distinguishes between how drugs and diseases interact.

### Clinical Relationship Mapping
### PrimeKG Relationship Reference Table

This table describes the 30 relationship types found in PrimeKG, their display names in the graph, and the biological or clinical meaning of each connection.

| Internal Relation Name | Display Name | Meaning / Scientific Context |
| :--- | :--- | :--- |
| **protein_protein** | ppi | **Protein-Protein Interaction:** Physical contact between two proteins to perform a biological function. |
| **indication** | indication | **Approved Use:** The primary disease or condition for which a drug is FDA-approved. |
| **contraindication** | contraindication | **Medical Warning:** A condition that makes a particular treatment or drug inadvisable/dangerous. |
| **off-label use** | off-label use | **Unofficial Use:** Prescribing a drug for a condition other than its officially approved indication. |
| **drug_drug** | synergistic interaction | When the combined effect of two drugs is greater than the sum of their separate parts. |
| **drug_effect** | side effect | Secondary, usually adverse, physical effects caused by a drug. |
|",your_data.txt,[]
Global,gpt-4o,What molecular and cellular components are relevant for studying environmental pollutant effects in PrimeKG?,"The relevant molecular function and cellular component for studying environmental pollutant effects in PrimeKG are ‘Methyltransferase’ as the molecular function, and ‘Nucleus’ as the cellular component where proteins function, along with the process of 'DNA repair'.","Dr. Maria Rodriguez, Environmental Health Scientist",Investigate the impact of environmental pollutants on molecular processes.,1,"process**| `DNA repair` | Programmed cellular objectives (e.g., cell division). |
| **molecular_function**| `Methyltransferase` | Specific biochemical activities at the molecular level. |
| **cellular_component**| `Nucleus` | The cellular ""location"" where proteins function. |
| **exposure** | `1-hydroxyphenanthrene`| Environmental factors or pollutants. |



---

## 3. Relationship (Edge) Types
PrimeKG contains 30 types of relations. Unlike standard graphs, it distinguishes between how drugs and diseases interact.

### Clinical Relationship Mapping
### PrimeKG Relationship Reference Table

This table describes the 30 relationship types found in PrimeKG, their display names in the graph, and the biological or clinical meaning of each connection.

| Internal Relation Name | Display Name | Meaning / Scientific Context |
| :--- | :--- | :--- |
| **protein_protein** | ppi | **Protein-Protein Interaction:** Physical contact between two proteins to perform a biological function. |
| **indication** | indication | **Approved Use:** The primary disease or condition for which a drug is FDA-approved. |
| **contraindication** | contraindication | **Medical Warning:** A condition that makes a particular treatment or drug inadvisable/dangerous. |
| **off-label use** | off-label use | **Unofficial Use:** Prescribing a drug for a condition other than its officially approved indication. |
| **drug_drug** | synergistic interaction | When the combined effect of two drugs is greater than the sum of their separate parts. |
| **drug_effect** | side effect | Secondary, usually adverse, physical effects caused by a drug. |
|",your_data.txt,[]
One Fact,gpt-4o,What is an example of an exposure factor listed in PrimeKG?,An example of an exposure factor listed in PrimeKG is '1-hydroxyphenanthrene'.,"Dr. Maria Rodriguez, Environmental Health Scientist",Investigate the impact of environmental pollutants on molecular processes.,1,"process**| `DNA repair` | Programmed cellular objectives (e.g., cell division). |
| **molecular_function**| `Methyltransferase` | Specific biochemical activities at the molecular level. |
| **cellular_component**| `Nucleus` | The cellular ""location"" where proteins function. |
| **exposure** | `1-hydroxyphenanthrene`| Environmental factors or pollutants. |



---

## 3. Relationship (Edge) Types
PrimeKG contains 30 types of relations. Unlike standard graphs, it distinguishes between how drugs and diseases interact.

### Clinical Relationship Mapping
### PrimeKG Relationship Reference Table

This table describes the 30 relationship types found in PrimeKG, their display names in the graph, and the biological or clinical meaning of each connection.

| Internal Relation Name | Display Name | Meaning / Scientific Context |
| :--- | :--- | :--- |
| **protein_protein** | ppi | **Protein-Protein Interaction:** Physical contact between two proteins to perform a biological function. |
| **indication** | indication | **Approved Use:** The primary disease or condition for which a drug is FDA-approved. |
| **contraindication** | contraindication | **Medical Warning:** A condition that makes a particular treatment or drug inadvisable/dangerous. |
| **off-label use** | off-label use | **Unofficial Use:** Prescribing a drug for a condition other than its officially approved indication. |
| **drug_drug** | synergistic interaction | When the combined effect of two drugs is greater than the sum of their separate parts. |
| **drug_effect** | side effect | Secondary, usually adverse, physical effects caused by a drug. |
|",your_data.txt,[]
Global,gpt-4o,What are the key elements involved in determining the efficacy and metabolic processes of drugs?,"Key elements include synergistic interactions, side effects, drug-protein interactions such as targets, enzymes, carriers, transporters, and pathways linked to diseases.","Dr. Emily Harris, a Pharmaceutical Research Scientist",Identify synergistic interactions and optimize metabolism in drug development,2,"** | synergistic interaction | When the combined effect of two drugs is greater than the sum of their separate parts. |
| **drug_effect** | side effect | Secondary, usually adverse, physical effects caused by a drug. |
| **drug_protein (target)** | target | The specific protein that a drug is designed to bind to for therapeutic effect. |
| **drug_protein (enzyme)** | enzyme | The protein (usually in the liver) responsible for metabolizing/breaking down the drug. |
| **drug_protein (carrier)** | carrier | Proteins that help transport the drug through the blood or across membranes. |
| **drug_protein (transporter)** | transporter | Proteins that actively pump drug molecules into or out of cells. |
| **disease_phenotype_positive** | phenotype present | **Symptoms:** A trait or symptom that is a known clinical manifestation of the disease. |
| **disease_phenotype_negative** | phenotype absent | A trait that is specifically excluded or not seen in patients with this disease. |
| **disease_protein** | associated with | A genetic or molecular link where a protein's behavior is tied to disease onset. |
| **disease_disease** | parent-child | Hierarchical link (e.g., ""Type 2 Diabetes"" is a child of ""Diabetes Mellitus""). |
| **pathway_protein** | interacts with | Connects a protein to the biochemical pathway it ""works"" in. |
| **pathway_pathway** | parent-child | Hierarchical link between broad pathways and specific sub-pathways. |
| **bioprocess_protein** | interacts with | Links a protein to a specific biological goal (e.g., ""Cellular Respiration""). |
|",your_data.txt,[]
Local Direct,gpt-4o,How do carrier and transporter proteins differ in their roles related to drug interactions?,"Carrier proteins help transport the drug through the blood or across membranes, while transporter proteins actively pump drug molecules into or out of cells.","Dr. Emily Harris, a Pharmaceutical Research Scientist",Identify synergistic interactions and optimize metabolism in drug development,2,"** | synergistic interaction | When the combined effect of two drugs is greater than the sum of their separate parts. |
| **drug_effect** | side effect | Secondary, usually adverse, physical effects caused by a drug. |
| **drug_protein (target)** | target | The specific protein that a drug is designed to bind to for therapeutic effect. |
| **drug_protein (enzyme)** | enzyme | The protein (usually in the liver) responsible for metabolizing/breaking down the drug. |
| **drug_protein (carrier)** | carrier | Proteins that help transport the drug through the blood or across membranes. |
| **drug_protein (transporter)** | transporter | Proteins that actively pump drug molecules into or out of cells. |
| **disease_phenotype_positive** | phenotype present | **Symptoms:** A trait or symptom that is a known clinical manifestation of the disease. |
| **disease_phenotype_negative** | phenotype absent | A trait that is specifically excluded or not seen in patients with this disease. |
| **disease_protein** | associated with | A genetic or molecular link where a protein's behavior is tied to disease onset. |
| **disease_disease** | parent-child | Hierarchical link (e.g., ""Type 2 Diabetes"" is a child of ""Diabetes Mellitus""). |
| **pathway_protein** | interacts with | Connects a protein to the biochemical pathway it ""works"" in. |
| **pathway_pathway** | parent-child | Hierarchical link between broad pathways and specific sub-pathways. |
| **bioprocess_protein** | interacts with | Links a protein to a specific biological goal (e.g., ""Cellular Respiration""). |
|",your_data.txt,[]
