question,correct_answer,question_type
Who used imperialism during their rule of the Mongol Empire?,Genghis Khan,local
By when did the Germanic tribes conquer the Celtic peoples?,800 CE,local
What policy did Stalin implement shortly after Lenin's Death?,socialism in one country,local
imperialism often divides countries by using which technique?,othering,local
Which country did Japan force into an alliance?,Thailand,local
The West saw the East as what?,inferior,local
What was the capital of the Ottoman empire?,Istanbul,local
What caused the US public to condemn the occupation of the philippines?,a war erupted,local
Who reigned over the Ottoman empire when it was at its most powerful.,Suleiman the Magnificent,local
What was the name of the first German settlement?,New Guinea,local
When was the British East India Company established?,1599,local
What did Basset analyze before coming to his conclusions?,nineteenth-century cartographic techniques,local
Where did France focus its efforts to rebuild its empire?,Africa,local
Trotsky thought what was needed for a true Russian revolution.,a world revolution,local
When did the age of imperialism end?,middle of the 20th century,local
By what means is imperialism usually administered?,military force,local
"Which book by Edward Said portrayed the east as being the ""others?""",Orientalism,local
When did the Ottoman Empire fall?,1923,local
Who chartered the British East India Company?,Queen Elizabeth,local
Theories on imperialism use which country as a model?,British,local
"How do the distinctions between 'formal' and 'informal' imperialism help explain how powerful nations extended dominance over weaker territories without direct occupation, and what examples from the text illustrate the advantages of informal control?","Formal imperialism required costly physical occupation; informal imperialism achieved dominance through trade agreements, debt, private industry ownership, and technological superiority at lower cost—as seen in Britain's post-1776 economic empire in Latin America and the US's hegemonic influence in Central America.",global
"How did pseudo-scientific theories such as environmental determinism, Social Darwinism, and Orientalism work together to construct an ideological justification for imperial expansion, and how did these ideas reinforce racial hierarchies that persisted beyond the colonial era?","Environmental determinism claimed tropical climates produced 'uncivilized' peoples; Social Darwinism justified rule by 'higher races'; Orientalism essentialized the East as irrational—together these frameworks made empire appear as a civilizing mission, with legacies like Latin America's continued valorization of 'whiteness' (blanqueamiento).",global
"How did the economic imperatives of capitalism, as analyzed by Lenin and Hobson, shape both the practice of imperial expansion and the theoretical debates about whether imperialism was a policy choice or a structural necessity of the capitalist system?","Lenin argued capitalism's need to constantly expand investment made imperialism inevitable—not a policy but a structural feature; Hobson countered that domestic social reform and taxation could cure imperialism by redistributing wealth at home, removing the economic pressure to expand abroad.",global
"How did different imperial powers—Britain, France, Germany, Japan, and Russia—employ distinct strategies and justifications for empire, and what does this variety reveal about the relationship between national interests, ideology, and the practice of imperialism?","Britain used free trade and 'terra nullius'; France offered 'assimilation' and a civilizing mission; Germany entered late under commercial and prestige pressures; Japan used rapid military conquest; Russia pursued territorial expansion under internationalist ideology—each strategy reflecting different economic needs, political systems, and ideological justifications.",global
"How did the concept of 'cultural imperialism' as a form of 'soft power' extend imperial influence beyond political and military control, and how did both authoritarian regimes and imperial nations use and resist it?","Cultural imperialism changed moral and societal worldviews through popular culture—as when the TV show Dallas reshaped Romanian expectations during the Cold War; Roman elites were co-opted through Roman culture; authoritarian regimes fought back with bans and internet controls, showing culture as a continuing battlefield of imperial power.",global
"How did the role of geographic knowledge—through cartography, geographical societies, and geographers like Mackinder, Ratzel, and Bowman—actively serve imperial expansion rather than merely describe the world?","Geographical societies funded explorers to fill 'blank spaces' on maps, providing incentives for colonization; Ratzel and Mackinder theorized expansion as necessary for state survival; Bowman's inquiry for Wilson aimed to establish US geographical order over a 'new world'—showing geography as an instrument of imperial power, not neutral science.",global
"To what extent did resistance to imperialism—from the Zulu wars to anti-colonial movements in Vietnam and Algeria—shape the actual practice and limits of imperial power, and what does this suggest about imperialism as a dynamic rather than one-sided process?","The Zulus fought with traditional weapons against machine guns; Vietnam defeated France militarily in the 1950s; Algeria forced de Gaulle to grant independence despite military victory—showing that imperial power was not absolute and that resistance forced empires to negotiate, adapt, or withdraw, making imperialism a contested relationship.",global
"How did the application of the term 'imperialism' evolve from describing a specific British policy in the 1870s to encompassing a world system stretching back centuries, and what are the implications of this semantic expansion for understanding global power?","Originally used by critics of Disraeli's aggressive policies, 'imperialism' was reframed by Lenin as capitalism's highest stage, then expanded by Marxist writers to a centuries-long world system from Columbus onward—each expansion shifted the meaning along moral, economic, systemic, cultural, and temporal axes, reflecting 'growing unease with Western power.'",global
"How did the concept of 'internal colonialism'—as applied to US treatment of Indigenous peoples, African Americans, and westward expansion—challenge the assumption that imperialism was only an external phenomenon, and what does this reveal about the relationship between domestic and foreign power?",The US opposed external imperialism through the Monroe Doctrine yet practiced internal colonialism through forced westward expansion displacing Indigenous peoples and through the slave trade bringing 12–15 million Africans; Said argued the US also targeted the 'contemporary Orient'—revealing imperialism as a continuum of domination operating both domestically and internationally.,global
"How did the Ottoman Empire's experience of both practicing and ultimately succumbing to imperialism illustrate the dynamic and historically contingent nature of imperial power, and what does its trajectory reveal about the conditions that sustain and destroy empires?","The Ottomans built a powerful multinational empire at their height under Suleiman, controlling three continents, but their alliance with Germany in WWI in hopes of recovering lost territories ended in dissolution—showing that imperial power depends on military strength, strategic alliances, and the ability to adapt, and that empires can both exercise and fall victim to imperial forces.",global
