question_type,source,question,correct_answer,matched_textbook,top_passages
local,gpt-4o-mini,A 28-year-old female in the 2nd trimester of pregnancy is diagnosed with primary Toxoplasma gondii infection. Her physician fears that the fetus may be infected in utero. Which of the following are associated with T. gondii infection in neonates?,"Hydrocephalus, chorioretinitis, intracranial calcifications",InternalMed_Harrison,"Congenital Toxoplasmosis Between 400 and 4000 infants born each year in the United States are affected by congenital toxoplasmosis. Acute infection in mothers acquiring T. gondii during pregnancy is usually asymptomatic; most such women are diagnosed via prenatal serologic screening. Infection of th | Toxoplasmosis is caused by infection with the obligate intracellular parasite Toxoplasma gondii. Acute infection acquired after birth may be asymptomatic but is thought to result in the lifelong chronic persistence of cysts in the host’s tissues. In both acute and chronic toxoplasmosis, the parasite | In persons whose immune systems are intact, acute toxoplasmosis is usually asymptomatic and self-limited. This condition can go unrecognized in 80–90% of adults and children with acquired infection. The asymptomatic nature of this infection makes diagnosis difficult in mothers infected during pregna"
global,gpt-4o-mini,"A study is conducted to investigate the relationship between the development of type 2 diabetes mellitus and the use of atypical antipsychotic medications in patients with schizophrenia. 300 patients who received the atypical antipsychotic clozapine and 300 patients who received the typical antipsychotic haloperidol in long-acting injectable form were followed for 2 years. At the end of the observation period, the incidence of type 2 diabetes mellitus was compared between the two groups. Receipt of clozapine was found to be associated with an increased risk of diabetes mellitus relative to haloperidol (RR = 1.43, 95% p<0.01). Developed type 2 diabetes mellitus Did not develop type 2 diabetes mellitus Clozapine 30 270 Haloperidol 21 279 Based on these results, what proportion of patients receiving clozapine would not have been diagnosed with type 2 diabetes mellitus if they had been taking a typical antipsychotic?""",0.03,InternalMed_Harrison,"The risk of type 2 diabetes mellitus appears to be increased in schizophrenia, and second-generation agents as a group produce greater adverse effects on glucose regulation, independent of effects on obesity, than traditional agents. Clozapine, olanzapine, and quetiapine seem more likely to cause hy | The CATIE study, a large-scale investigation of the effectiveness of antipsychotic agents in “real-world” patients, revealed a high rate of discontinuation of treatment over 18 months. Olanzapine showed greater effectiveness than quetiapine, risperidone, perphenazine, or ziprasidone but also a highe | Conventional neuroleptics differ in their potency and side effect profile. Older agents, such as chlorpromazine and thioridazine, are more sedating and anticholinergic and more likely to cause orthostatic hypotension, whereas higher potency antipsychotics, such as haloperidol, perphenazine, and thio"
local,gpt-4o-mini,"A 45-year-old woman with history of systemic sclerosis presents with new onset dyspnea, which is worsened with moderate exertion. She also complains of chest pain. An ECG was obtained, and showed right-axis deviation. Chest x-ray showed right ventricle hypertrophy. Given the patient's history and presentation, right heart catheterization was performed, which confirmed the suspected diagnosis of pulmonary artery hypertension. It is decided to start the patient on bosentan. Which of the following describes the method of action of bosentan?",Endothelin receptor antagonist,InternalMed_Harrison,"The randomized, placebo-controlled, phase III Bosentan Randomized Trial of Endothelin Antagonist Therapy (BREATHE)-1 comparing bosentan with placebo demonstrated�improved symptoms, 6MWD, and WHO functional class. The Endothelin Antagonist Trial in Mildly Symptomatic Pulmonary Arterial Hypertension P | TrEaTMENT OF PULMONarY arTErIaL HYPErTENSION (PaH) In patients with SSc, PAH carries an extremely poor prognosis and accounts for 30% of deaths. Because PAH is asymptomatic until advanced, patients with SSc should be screened for its presence at initial evaluation, and on a yearly basis thereafter.  | Despite an abundance of animal and clinical data demonstrating deleterious effects of activated neurohormonal pathways beyond the RAAS and sympathetic nervous system, targeting such pathways with incremental blockade has been largely unsuccessful. As an example, the endothelin antagonist bosentan is"
local,gpt-4o-mini,A 70-year-old female with chronic kidney failure secondary to diabetes asks her nephrologist to educate her about the techniques used to evaluate the degree of kidney failure progression. She learns about the concept of glomerular filtration rate (GFR) and learns that it can be estimated by measuring the levels of some substances. The clearance of which of the following substances is the most accurate estimate for GFR?,Inulin,InternalMed_Harrison,"range for this analyte when attempting to gauge a patient’s renal function. A large decrease in glomerular filtration rate (GFR) is associated with slight increases in the plasma creatinine concentration within the typical reference range provided by many laboratories (Fig. 480e-2). A 60-year-old wh | Stages 1 and 2 CKD are usually not associated with any symptoms arising from the decrement in GFR. If the decline in GFR progresses to stages 3 and 4, clinical and laboratory complications of CKD become reCOMMenDeD equatIOns FOr estIMatIOn OF gLOMeruLar FILtratIOn rate (gFr) usIng seruM CreatInIne C | Commonly accepted criteria for initiating patients on maintenance dialysis include the presence of uremic symptoms, the presence of hyperkalemia unresponsive to conservative measures, persistent extracellular volume expansion despite diuretic therapy, acidosis refractory to medical therapy, a bleedi"
local,gpt-4o-mini,"A 27-year-old man comes to the physician because of a 2-month history of palpitations and shortness of breath on exertion. He has no history of serious illness. He does not smoke or use illicit drugs. His pulse is 90/min, respirations are 18/min, and blood pressure is 140/40 mm Hg. Cardiac examination shows a murmur along the left sternal border. A phonocardiogram of the murmur is shown. Which of the following additional findings is most likely in this patient?",Increased left ventricular end-diastolic volume,InternalMed_Harrison,"Additional clues to the etiology and importance of a heart murmur can be gleaned from the history and other physical examination findings. Symptoms suggestive of cardiovascular, neurologic, or pulmonary disease help focus the differential diagnosis, as do findings relevant to the jugular venous pres | The differential diagnosis of a heart murmur begins with a careful assessment of its major attributes and response to bedside maneuvers. The history, clinical context, and associated physical examination findings provide additional clues by which the significance of a heart murmur can be established | PRESENCE OF CARDIAC MURMUR Systolic Murmur Diastolic or Continuous Murmur Grade I + II and midsystolic Grade III or >, holosystolic, or late systolic Other signs or symptoms of cardiac disease No further workup Normal ECG and chest X-ray Abnormal ECG or chest X-ray Asymptomatic and no associated fin"
local,gpt-4o-mini,A 60-year-old male presents to your office for follow-up after an upper gastrointestinal (GI) endoscopy revealed the presence of esophageal varices. His medical history is significant for cirrhosis caused by heavy alcohol abuse for the past 20 years. He was instructed to follow-up with his primary care physician for management of his condition. Which of the following is the most appropriate next step for prevention of future variceal bleeding?,Nadolol,InternalMed_Harrison,"ESOPHAgEAL VARICES Patients with variceal hemorrhage have poorer outcomes than patients with other sources of UGIB. Urgent endoscopy within 12 h is recommended in cirrhotics with UGIB, and if esophageal varices are present, endoscopic ligation is performed and an IV vasoactive medication (e.g., octr | This algorithm describes an approach to management of patients who have recurrent bleeding from esophageal varices. Initial therapy is generally with endoscopic therapy often supplemented by pharmacologic therapy. With control of bleeding, a decision needs to be made as to whether patients should go | esopHaGeal varices Over the last decade, it has become common practice to screen known cirrhotics with endoscopy to look for esophageal varices. Such screening studies have shown that approximately one-third of patients with histologically confirmed cirrhosis have varices. Approximately 5–15% of cir"
local,gpt-4o-mini,A 58-year-old woman presents to the physician for a routine gynecological visit. She denies any acute issues and remarks that she has not been sexually active for the past year. Her last Pap test was negative for any abnormal cytology. A pelvic examination and Pap test is performed at the current visit with no remarkable findings. Which of the following approaches to cervical cancer screening is most appropriate for this patient?,Pap test and HPV test in 5 years,InternalMed_Harrison,"The primary method used for cancer screening is cervical cytology via Pap smear. The guidelines of the American Society of Colposcopy and Cervical Pathology recommend initiation of cervical cancer screening at age 21, regardless of the age of sexual debut. Women 21–29 years old with a normal Pap sme | cervical cancer Screening with Papanicolaou (Pap) smears decreases cervical cancer mortality. The cervical cancer mortality rate has fallen substantially since the widespread use of the Pap smear. With the onset of sexual activity comes the risk of sexual transmission of HPV, the fundamental etiolog | Approximately 95% of all cervical cancer is caused by human papillomavirus (HPV) infections, with types 16 and 18 accounting for about 70% of cervical cancer. The rate of carriage of these serotypes is highest among women in their early twenties and can be reduced with the use of vaccination before"
local,gpt-4o-mini,"A 65-year-old male is evaluated in clinic approximately six months after resolution of a herpes zoster outbreak on his left flank. He states that despite the lesions having resolved, he is still experiencing constant burning and hypersensitivity to touch in the distribution of the old rash. You explain to him that this complication can occur in 20-30% of patients after having herpes zoster. You also explain that vaccination with the shingles vaccine in individuals 60-70 years of age can reduce the incidence of this complication. What is the complication?",Post-herpetic neuralgia,InternalMed_Harrison,"Herpes Zoster Herpes zoster (shingles) is a sporadic disease that results from reactivation of latent VZV from dorsal root ganglia. Most patients with shingles have no history of recent exposure to other individuals with VZV infection. Herpes zoster occurs at all ages, but its incidence is highest ( | In both normal and immunocompromised hosts, the most debilitating complication of herpes zoster is pain associated with acute neuritis and postherpetic neuralgia. Postherpetic neuralgia is uncommon in young individuals; however, at least 50% of zoster patients over age 50 report some degree of pain  | Peripheral neuropathy from herpes varicella-zoster (HVZ) infection results from reactivation of latent virus or from a primary infection (Chap. 217). Two-thirds of infections in adults are characterized by dermal zoster in which severe pain and paresthesias develop in a dermatomal region followed wi"
global,gpt-4o-mini,An excisional biopsy is performed and the diagnosis of superficial spreading melanoma is confirmed. The lesion is 1.1 mm thick. Which of the following is the most appropriate next step in management?,Surgical excision with 1-2 cm safety margins and sentinel lymph node study,InternalMed_Harrison,"For a newly diagnosed cutaneous melanoma, wide surgical excision of the lesion with a margin of normal skin is necessary to remove all malignant cells and minimize possible local recurrence. The following margins are recommended for a primary melanoma: in situ, 0.5–1.0 cm; invasive up to 1 mm thick, | Biopsy Any pigmented cutaneous lesion that has changed in size or shape or has other features suggestive of malignant melanoma is a candidate for biopsy. An excisional biopsy with 1to 3-mm margins is suggested. This facilitates pathologic assessment of the lesion, permits accurate measurement of thi | FIguRE 70-1 Superficial spreading melanoma. This is the most common type of melanoma. Such lesions usually demonstrate asymmetry, border irregularity, color variegation (black, blue, brown, pink, and white), a diameter >6 mm, and a history of change (e.g., an increase in size or development of assoc"
local,gpt-4o-mini,An 18-year-old woman presents for a routine check-up. She is a college student with no complaints. She has a 2 pack-year history of smoking and consumes alcohol occasionally. Her sexual debut was at 15 years of age and has had 2 sexual partners. She takes oral contraceptives and uses barrier contraception. Her family history is significant for cervical cancer in her aunt. Which of the following statements regarding cervical cancer screening in this patient is correct?,The patient should undergo screening every 3 years after she turns 21 years of age.,InternalMed_Harrison,"The primary method used for cancer screening is cervical cytology via Pap smear. The guidelines of the American Society of Colposcopy and Cervical Pathology recommend initiation of cervical cancer screening at age 21, regardless of the age of sexual debut. Women 21–29 years old with a normal Pap sme | cervical cancer Screening with Papanicolaou (Pap) smears decreases cervical cancer mortality. The cervical cancer mortality rate has fallen substantially since the widespread use of the Pap smear. With the onset of sexual activity comes the risk of sexual transmission of HPV, the fundamental etiolog | Approximately 95% of all cervical cancer is caused by human papillomavirus (HPV) infections, with types 16 and 18 accounting for about 70% of cervical cancer. The rate of carriage of these serotypes is highest among women in their early twenties and can be reduced with the use of vaccination before"
