question,ground_truth_answer
What item does the gypsy woman use to curse Christine?,A button off of Christine's coat
What animal does Shaun San Dena use to trap the spirit of the Lamia?,A goat
What kind of demon is haunting Christine?,The Lamia
What animal does Christine sacrifice first to try and appease the spirit?,Her kitten.
What will happen if Christine gives the envelope with the button in it to someone?,The curse will be passed on.
What item did Ganush take from Christine to curse her?,A button from her coat 
What did Christine do to her boss right before Stu stole Christine's file?,Had a projectile nose bleed and covered him in blood 
Who suggested that Christine sacrifice something to rid of Lamia?,Rham Jas.
What was Shaun San Dena's plan to rid of Lamia?,"Trap Lamia in a goat, kill the goat, and have Lamia inhabit her. "
Where does the beginning of this story take place?,"Pasadena, California."
What is Christine Brown's job?,bank loan officer
What does Sylvia Ganush ask Christine for?,An extension on her mortgage loan
Where are Clay and Christine going for the weekend?,Santa Barbara.
What did Stu admit to taking credit for?,Christine's work.
What does Christine sacrifice?,Her pet kitten
What does Rham Jas tell Christine when they first meet?,That she is being haunted by an evil spirit
What is Christine's boyfriend's name?,Clay Dalton
What is the name of the website mentioned in the document?,The Internet Movie Script Database (IMSDb)
What tracking code is referenced in the script for Google Analytics?,UA-3785444-3
What type of resource does IMSDb claim to be?,The web's largest movie script resource!
Who put the paperwork for the Mcpherson loan on Mr. Jacks' desk?,Stephanie
What type of loan is the Mcpherson loan described as?,A big corporate loan
What position is Stephanie inquiring about regarding Mr. Jacks' decision?,Assistant Manager's position
What type of notice does Stephanie review for Mrs. Ganush?,A delinquency notice.
What is the address of Mrs. Ganush's property that is set to be repossessed?,325 Brandon street.
How long has Mrs. Ganush lived in her home?,Twenty years.
What language does Mrs. Ganush speak when she confronts Stephanie?,Hungarian
What does Mrs. Ganush threaten to do to Stephanie?,pluck out her fucking eyes
What does Stephanie use to defend herself against Mrs. Ganush?,a handful of colored push pins
How much does Rham Jas charge for his services?,Sixty dollars
