question_type,question,correct_answer
local,The word imperialism has it's origins in which ancient language?,Latin
global,By what means is imperialism usually administered?,military force
local,"The term imperialism has been applied to western countries, and which eastern county?",Japan
global,Imperialism is responsible for the rapid spread of what?,technologies and ideas
global,Imperialism extends a country's power and what?,influence
global,colonial rule would be considered what type of imperialism?,"""Formal imperialism"""
global,imperialism often divides countries by using which technique?,othering
global,"Informal imperialism is still dominant; however, less what?",direct
global,A forced trade agreement between two countries would be an example of what?,"""informal"" imperialism"
global,"colonial rule, or physical occupation of a territory is an example of what kind of imperialism?","""formal"""
global,Some have generalized the meaning of the word imperialism down to general-purpose what?,aggressiveness
global,What subtle tool can be used in an informal imperialistic situation to expand a controlled area?,ownership of private industries
global,"Which is more costly, formal, or informal imperialism?",informal
global,The amount of land a country controls is its greatest what?,distinction
local,Western Imperialism divided the globe according to which theory?,the world systems theory
local,"Who suggested that imperialism was the ""highest"" form of capitalism?",Lenin
global,One country's authority over a number of others would constitute the original country as what?,empires
global,Most imperialism was carried out using which method of transport?,seaborne
global,Imperialism is confused with what other term?,colonialism
global,What does colonialism lack that imperialism has?,political focus
global,Colonialism as a policy is caused by financial and what other reasons?,ideological
local,Who besides the Russians are often left out of the colonialism debat?,Ottoman
global,Imperialism and colonialism both assert a states dominance over what?,person or group of people
global,Political advantage is an attribute of which state policies?,Imperialism and colonialism
global,Colonialism often means a country doing what?,taking physical control of another
global,How would one create an empire by means of Imperialism?,conquering the other state's lands
global,What is colonialism's core meaning?,exploitation
global,what do conquering people pass down to native populations?,characteristics
global,what is the most controversial aspect of imperialism?,empire-building
local,Friedrich Ratzel thought what was needed for a state to survive?,imperialism
local,J. A. Hobson wanted which races to develop the world?,highest 'social efficiency'
local,Which theory justifies imperialism in part?,theory of races
local,In Latin America what is the most revered skin color?,whiteness
local,Where was Friedrich Ratzel born?,Germany
local,Where was Halford Mackinder born?,Britain
local,Halford Mackinder and Friedrich Ratzel where what kind of geographers?,Political
local,Friedrich Ratzel thought imperialism was what for the country?,geographical societies in Europe
local,How would the geographical societies in Europe support certain travelers?,fund
local,Which theory suggested people in the tropics were uncivilized?,environmental determinism
local,According to Ellen Churchill Semple what type of climate was necessary for humans to become fully human?,temperate
local,"Which book by Edward Said portrayed the east as being the ""others?""",Orientalism
global,According to certain Geographical theories what type of human does a tropical climate produce?,uncivilized
global,"By justification certain racial and geographical theories, Europe thought of itself as what?",superior
local,What law justified British imperialism?,Terra nullius
local,When did Great Britain colonize Australia?,the eighteenth century
local,Imperialism is most often associated with which sovereignty?,the British Empire
local,What were the native inhabitants of Australia called?,Aboriginal
local,Terra Nullius is a Latin expression meaning what in English?,empty land
global,Orientalism refers to how the West developed a what of the East?,an imaginative geography
global,Early Western texts referencing the East describe the people as being what?,irrational and backward
global,The West saw the East as what?,inferior
global,What was used by the West to justify control over eastern territories?,Orientalism
global,The West saw themselves as what compared to the east?,progressive
local,bassett focuses on what to illustrate his idea?,nineteenth-century maps
global,What provided an incentive to western empires to colonize Africa?,blank spaces on contemporary maps
local,What were blank spaces used for on nineteenth-century maps?,unexplored territory
local,What did Basset analyze before coming to his conclusions?,nineteenth-century cartographic techniques
local,Who besides the british colonized Africa?,French
local,During which era did the Aztec and Incan empires thrive?,the pre-Columbian era
local,Who used imperialism during their rule of the Mongol Empire?,Genghis Khan
local,How many Muslim empires have used imperialism?,dozens
local,Which is older the British Empire or the Ethiopian Empire?,Ethiopian Empire
local,The Asante and Lunda Empires were in which region?,Sub-Saharan Africa
global,"When imperialism impacts social norms of a state, what is it called?",Cultural imperialism
local,What is Cultural Imperialism often referred to as?,soft power
local,Which American show changed the views of Romanians during the cold war?,Dallas
local,Which historic empire used cultural imperialism to sway local elites?,Roman
global,How do regimes fight against cultural imperialism?,bans
local,When did the age of Imperialism begin?,around 1700
local,What were European countries doing during the 1700's?,colonizing
local,How many years have imperialistic practices existed?,thousands
local,When did the age of imperialism end?,middle of the 20th century
local,What was the name of the imperialistic policy in China?,Open Door Policy
local,When was John Gallagher born?,1919
local,When did Ronald Robinson die?,1999
local,What profession were Ronald Robinson and John Gallagher?,historians
global,What grew on a global scale as a result of imperialism?,the world's economy
local,Who was made rich and prosperous prior to World War 1,many imperial powers
global,European imperialism was focused on what?,economic growth
local,When did the colonization of India occur?,mid-18th century
global,What did European empires rely on to supply them with resources?,colonies
local,Who did Britain exploit in India?,the Mughal state
local,What advancements besides military technology did Europe achieve?,communication
local,What did European chemists make that could be used in warfare?,deadly explosives
local,what was invented in 1880 that revolutionized warfare?,the machine gun
local,What weapons were the Zulus using during the Anglo-Zulu War of 1879?,"arrows, swords, and leather shields"
local,Which region invented the machine gun?,European
local,Theories on imperialism use which country as a model?,British
local,When did the term imperialism first come to be used by its current definition?,in the late 1870s
global,What was the idealized value of imperialism?,philanthropy
global,According to Lenin why must capitalistic countries have an imperialistic policy?,to constantly expand investment
global,"some debate that there is a correlation between capitalism, imperialism, and what?",aristocracy
local,When was the military-political complex reflected upon within the scope of understanding imperialism?,the 1950s
local,When were Joseph Schumpeter and Norman Angell at their most prolific writing period?,before World War I
local,Hobson argued that imperialism was an international what?,disease
local,How did Hobson argue to rid the world of imperialism?,taxation
global,What served as a justification for imposing imperialistic policies on certain peoples or regions?,environmental determinism
global,What was thought to decide a person's behavior?,the environment in which they lived
global,Humans in tropical environments were considered what?,less civilized
local,"Europe first colonized the Americas, then Asia, but what continent was third?",Africa
local,What were the two forms of environmental determinism?,orientalism and tropicality
local,Who thought the world could be split into climatic zones?,geographic scholars
local,Which regions have temperate climates?,Northern Europe and the Mid-Atlantic
local,What did the the Europeans think the peoples in the tropics were in need of?,guidance
local,What was a similar view about the Asian continent called?,orientalism
local,Who did the geographic scholars work for?,colonizing empires
