question,ground_truth_answer
"What comes back to life, presaging E.T.'s revival?",A chrysanthemum.
What are two examples of E.T.'s psychic connection with Elliot?,Elliot feels intoxicated when E.T. drinks some beer and he mimics a scene from a movie E.t. is watching.
What is one clue that E.T. is happy to be going home?,His heart is glowing.
Who are the first people besides Elliot to learn about E.T.?,Michael and Gertie
How do the kids sneak E.T. out of the house on Halloween?,They disguise him as a ghost.
What does Elliot use to lure E.T. to his room?,Reese's Pieces
What is an important component of the device E.T. uses to phone home?,A speak and spell toy.
Who gets quarantined with E.T.?,Elliott
How do the boys avoid the police roadblock?,E.T. uses telekinesis to lift them into the air.
What is Elliot doing when he first discovers E.T.?,Elliot is returning home from buying a pizza.
"Where does E.T. receive inspiration from to build the device to ""phone home""?",A Buck Rogers comic book.
Who is Gertie to Michael?,His little sister.
What did the aliens intend to do on Earth?,Collect flora samples.
What do Michael and Elliot dress E.T. up as for Halloween?,A ghost.
Where does E.T. want to phone?,"""home"""
What happens when Elliot and E.T. are quarantined?,"Their link disappears, Elliot gets better, ET seems to die. "
Where does E.T. tell Elliot he will be?,In his forehead.
What do E.T. and Elliot make a device to 'phone home' out of?,A speak and spell toy
What is Michael and Elliot's sister named?,Gertie.
What glows as E.T. prepares to return home?,His finger glows.
What does E.T. revive?,He revies the Chrysanthemum.
What is the purpose of the script included in the document chunk?,The script is for Google Analytics tracking.
What is the full name of the website referred to in the document?,The Internet Movie Script Database (IMSDb)
What does IMSDb claim to be?,The web's largest movie script resource!
What game are the boys playing around the table?,DUNGEONS AND DRAGONS
Who is the Game Master in the game?,Steve
What is Elliott's objective in the scene?,to play the game
What does Mary tell Gertie to do if she sees the alien again?,Just call me and we'll have someone come and take it away.
What does Elliott say will happen to the alien if it is captured?,"They'll give it a lobotomy, or do experiments on it or something."
What does Mary say about her husband?,He hates Mexico.
